order_id,user_id,product_id,order_time,payment_time,quantity,unit_price,coupon_discount,total_amount,is_group_order,share_count,logistics_status,refund_status,device_type,user_agent
1,2000,493,2026-04-20 21:58:00,2026-04-20 22:16:00,2,32.27,15.28,49.26,False,2,待发货,无,未知,python-requests/2.28.1
3,1022,387,2026-04-06 03:01:00,2026-04-06 03:30:00,1,28.11,13.89,14.22,False,2,未知,无,Android,
5,538,357,2026-04-13 19:15:00,2026-04-13 20:29:00,4,34.9,5.8,133.8,True,5,未知,无,PC,random gibberish string @#$%
6,1905,73,2027-01-21 00:00:00,2027-01-21 01:26:00,1,79.57,16.95,62.62,False,0,已发货,无,iOS,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)
8,712,392,2026-03-19 20:44:00,2026-03-19 22:21:00,1,46.06,9.85,36.21,False,1,未知,无,未知,
9,1352,342,2026-05-21 05:19:00,,1,82.85,17.51,65.34,False,1,已签收,无,未知,Mozilla/5.0 (Linux; Android 11; SM-G991B)
10,1495,315,2026-05-29 22:48:00,2026-05-29 23:32:00,2,44.74,14.93,74.55,False,0,待发货,无,PC,python-requests/2.28.1
13,1068,311,2026-04-29 18:33:00,2026-04-29 20:02:00,3,54.63,9.87,154.02,True,2,已签收,无,未知,python-requests/2.28.1
14,573,141,2026-03-23 03:24:00,,2,62.85,10.95,114.75,True,1,未知,无,PC,python-requests/2.28.1
15,921,226,2026-04-07 19:33:00,2026-04-07 20:22:00,1,97.94,4.36,93.58,False,2,已签收,已退款,未知,python-requests/2.28.1
16,1789,445,2026-05-05 05:56:00,2026-05-05 06:35:00,4,105.3,1.36,419.84,False,2,未知,已退款,Android,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)
17,1460,504,2026-05-07 23:58:00,2026-05-08 01:27:00,2,67.24,8.16,126.32,False,0,未知,无,未知,random gibberish string @#$%
18,811,81,2026-04-15 15:06:00,,5,131.12,12.12,643.48,True,3,未知,已拒绝,未知,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)
19,148,515,2026-04-28 22:52:00,,2,32.12185612838782,12.96,51.28,True,1,待发货,申请中,iOS,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)
20,1574,494,2024-05-08 00:00:00,2024-05-08 00:52:00,1,84.52,1.67,82.85,False,2,已发货,无,Android,python-requests/2.28.1
21,66,486,2026-04-27 15:53:00,2026-04-27 16:24:00,2,105.12,16.47,193.77,True,3,已发货,无,未知,Mozilla/5.0 (Linux; Android 11; SM-G991B)
23,741,195,2026-03-13 06:18:00,,2,39.41,16.93,61.89,True,1,退货中,已退款,PC,python-requests/2.28.1
27,911,355,2026-03-30 18:15:00,2026-03-30 19:28:00,3,31.21,10.19,83.44,False,2,未知,无,Android,Mozilla/5.0 (Linux; Android 11; SM-G991B)
30,1133,309,2026-03-27 15:02:00,2026-03-27 15:43:00,5,76.3,12.8,368.7,True,5,退货中,已拒绝,PC,
31,1182,492,2026-05-28 04:14:00,2026-05-28 04:52:00,2,90.92,3.8,178.04,False,2,已签收,无,未知,Mozilla/5.0 (Linux; Android 11; SM-G991B)
32,1326,404,2026-04-21 09:52:00,2026-04-21 11:36:00,3,62.42,5.91,181.35,False,1,待发货,申请中,PC,
33,1894,267,2026-04-24 15:17:00,2026-04-24 15:30:00,4,90.45,5.47,356.33,False,0,退货中,申请中,Android,random gibberish string @#$%
35,875,459,2026-04-16 20:27:00,2026-04-16 22:25:00,3,80.69,11.6,230.47,True,2,未知,已拒绝,Android,random gibberish string @#$%
36,1737,104,2026-03-29 23:13:00,2026-03-30 00:38:00,2,34.8,13.77,55.83,False,1,未知,申请中,PC,python-requests/2.28.1
37,895,462,2024-02-18 00:00:00,2024-02-18 01:19:00,5,198.55,18.84,973.91,False,2,未知,已退款,iOS,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)
38,1475,474,2026-04-14 21:04:00,2026-04-14 22:54:00,5,147.94,16.93,722.77,False,1,已发货,已退款,iOS,random gibberish string @#$%
39,1831,455,2026-03-11 23:53:00,2026-03-12 01:43:00,5,169.22,0.6,845.5,True,3,退货中,申请中,Android,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)
40,2009,120,2026-05-14 23:16:00,2026-05-14 23:32:00,5,136.13,11.5,669.15,False,2,退货中,无,未知,Mozilla/5.0 (Linux; Android 11; SM-G991B)
41,686,54,2024-07-14 00:00:00,2024-07-14 01:59:00,5,44.63,19.45,203.7,True,4,已签收,无,未知,Mozilla/5.0 (Linux; Android 11; SM-G991B)
42,738,513,2026-05-02 16:39:00,2026-05-02 18:22:00,5,142.0086748331011,1.61,708.43,True,1,已签收,已拒绝,Android,python-requests/2.28.1
43,803,150,2026-03-18 16:45:00,2026-03-18 16:57:00,5,143.26,6.41,709.89,True,2,未知,已拒绝,PC,python-requests/2.28.1
44,1877,310,2026-03-07 19:16:00,2026-03-07 20:30:00,5,66.49,0.88,331.57,False,1,未知,申请中,未知,python-requests/2.28.1
45,1608,451,2026-03-18 12:28:00,2026-03-18 13:47:00,4,67.56,4.17,266.07,True,1,未知,已退款,iOS,random gibberish string @#$%
46,1801,293,2026-03-25 22:34:00,2026-03-25 22:36:00,4,61.78,10.89,236.23,False,1,待发货,无,iOS,random gibberish string @#$%
47,692,310,2026-04-19 09:24:00,2026-04-19 09:49:00,1,66.49,16.22,50.27,False,0,待发货,申请中,Android,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)
48,1008,191,2026-05-08 18:45:00,2026-05-08 18:51:00,2,42.87,11.38,74.36,False,0,未知,已退款,未知,random gibberish string @#$%
