product_id,category,brand_type,price,original_price,sales_volume,rating,supplier,warehouse_city,product_description
1,服饰鞋帽,国货,131.74,157.29,1311,4.5,供应商9,深圳,商品名称带空格服饰鞋帽商品1
2,服饰鞋帽,国货,74.95,95.11,6970,4.1,,深圳,爆款服饰鞋帽商品2
3,服饰鞋帽,国际,108.96,120.74,6370,4.8,供应商46,广州,特惠服饰鞋帽商品3
4,服饰鞋帽,国货,141.27,183.39,5907,3.8,供应商31,未知,服饰鞋帽商品4
5,服饰鞋帽,国际,91.9,118.46,1888,4.0,供应商11,深圳,爆款服饰鞋帽商品5
6,服饰鞋帽,国货,63.06,81.27,1184,4.3,,未知,服饰鞋帽商品6
7,服饰鞋帽,国际,131.0,172.58,4157,3.6,,广州,商品名称带空格服饰鞋帽商品7
8,服饰鞋帽,国际,68.17,87.33,2092,4.6,,广州,商品名称带空格服饰鞋帽商品8
9,服饰鞋帽,未知,149.0,190.33,2252,4.5,供应商50,未知,特惠服饰鞋帽商品9
10,服饰鞋帽,国货,124.23,145.54,7288,4.5,供应商11,广州,商品名称带空格服饰鞋帽商品10
11,服饰鞋帽,国货,56.79,66.66,1329,4.0,,未知,script服饰鞋帽商品11
12,服饰鞋帽,国货,149.91,183.07,3416,4.8,供应商18,南昌,商品名称带空格服饰鞋帽商品12
13,服饰鞋帽,国际,64.14,82.81,1047,4.7,供应商41,南昌,爆款服饰鞋帽商品13
14,服饰鞋帽,国际,102.69,129.65,4832,4.7,供应商33,未知,爆款服饰鞋帽商品14
15,服饰鞋帽,国货,110.23,145.11,6902,3.6,供应商20,深圳,script服饰鞋帽商品15
16,服饰鞋帽,国际,79.43,100.93,7151,4.1,供应商32,广州,爆款服饰鞋帽商品16
17,服饰鞋帽,国际,49.21,56.12,2441,4.7,供应商2,广州,服饰鞋帽商品17
18,服饰鞋帽,国货,96.97,111.18,4991,3.9,,深圳,script服饰鞋帽商品18
19,服饰鞋帽,国货,45.9,61.19,1337,3.9,供应商1,未知,服饰鞋帽商品19
20,服饰鞋帽,国货,63.01,71.16,3729,3.9,,武汉,script服饰鞋帽商品20
21,服饰鞋帽,国际,99.315,119.178,7512,4.4,供应商30,深圳,爆款服饰鞋帽商品21
22,服饰鞋帽,国货,149.07,187.72,5590,4.6,供应商15,深圳,服饰鞋帽商品22
