order_id,user_id,product_id,order_time,payment_time,quantity,unit_price,coupon_discount,total_amount,is_group_order,share_count,logistics_status,refund_status,device_type,user_agent
1,2000,493,2026-04-20 21:58:00,2026-04-20 22:16:00,2.0,32.27,15.28,49.26,False,2,待发货,,,python-requests/2.28.1
2,1857,301,2024-04-10 00:00:00,2024-04-10 00:34:00,3.0,-51.08,4.04,,False,0,已发货,,PC,Mozilla/5.0 (Linux; Android 11; SM-G991B)
3,1022,387,2026-04-06 03:01:00,2026-04-06 03:30:00,1.0,28.11,13.89,14.22,False,2,,,Android,
4,1381,198,2026-05-07 16:10:00,2026-05-07 17:30:00,4.0,104.3,13.11,404.09,False,0,已发货,,,
5,538,357,2026-04-13 19:15:00,2026-04-13 20:29:00,4.0,34.9,5.8,133.8,True,5,,,PC,random gibberish string @#$%
6,1905,73,2027-01-21 00:00:00,2027-01-21 01:26:00,1.0,79.57,16.95,62.62,False,0,已发货,,iOS,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)
7,1109,497,2026-03-11 01:03:00,2026-03-11 01:44:00,3.0,31.88,16.26,79.38,True,3,已签收,申请中,iOS,python-requests/2.28.1
8,712,392,2026-03-19 20:44:00,2026-03-19 22:21:00,1.0,46.06,9.85,36.21,False,1,,,,
9,1352,342,2026-05-21 05:19:00,invalid_time_format,1.0,82.85,17.51,65.34,False,1,已签收,,,Mozilla/5.0 (Linux; Android 11; SM-G991B)
10,1495,315,2026-05-29 22:48:00,2026-05-29 23:32:00,2.0,44.74,14.93,74.55,False,0,待发货,,PC,python-requests/2.28.1
11,989,373,2026-04-01 19:50:00,2026-04-01 20:28:00,3.0,,11.7,,True,0,待发货,,PC,random gibberish string @#$%
12,74,373,2026-03-07 22:37:00,2026-03-07 23:10:00,4.0,,10.58,,False,1,,申请中,,python-requests/2.28.1
13,1068,311,2026-04-29 18:33:00,2026-04-29 20:02:00,3.0,54.63,9.87,154.02,True,2,已签收,,,python-requests/2.28.1
14,573,141,2026-03-23 03:24:00,,2.0,62.85,10.95,114.75,True,1,,,PC,python-requests/2.28.1
15,921,226,2026-04-07 19:33:00,2026-04-07 20:22:00,1.0,97.94,4.36,93.58,False,2,已签收,已退款,,python-requests/2.28.1
16,1789,445,2026-05-05 05:56:00,2026-05-05 06:35:00,4.0,105.3,1.36,419.84,False,2,,已退款,Android,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)
17,1460,504,2026-05-07 23:58:00,2026-05-08 01:27:00,2.0,67.24,8.16,126.32,False,0,,,,random gibberish string @#$%
18,811,81,2026-04-15 15:06:00,,5.0,131.12,12.12,643.48,True,3,,已拒绝,,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)
19,148,515,2026-04-28 22:52:00,,2.0,32.12185612838782,12.96,51.28,True,0,待发货,申请中,iOS,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)
20,1574,494,2024-05-08 00:00:00,2024-05-08 00:52:00,1.0,84.52,1.67,82.85,False,2,已发货,,Android,python-requests/2.28.1
21,66,486,2026-04-27 15:53:00,2026-04-27 16:24:00,2.0,105.12,16.47,193.77,True,3,已发货,,,Mozilla/5.0 (Linux; Android 11; SM-G991B)
22,162,59,2026-04-20 08:52:00,,4.0,80.27,9.9,311.18,False,0,已签收,,PC,random gibberish string @#$%
23,741,195,2026-03-13 06:18:00,invalid_time_format,2.0,39.41,16.93,61.89,True,1,退货中,已退款,PC,python-requests/2.28.1
24,1140,394,2026-04-04 08:35:00,2026-04-04 09:13:00,2.0,24.5,15.57,33.43,False,0,退货中,已拒绝,PC,random gibberish string @#$%
25,1061,284,2026-03-23 05:28:00,2026-03-23 06:56:00,-1.0,73.32,17.48,,True,5,已发货,申请中,PC,random gibberish string @#$%
26,1923,126,2026-04-21 18:19:00,2026-04-21 20:06:00,-5.0,109.9,5.91,,False,1,待发货,,,random gibberish string @#$%
27,911,355,2026-03-30 18:15:00,2026-03-30 19:28:00,3.0,31.21,10.19,83.44,False,2,,,Android,Mozilla/5.0 (Linux; Android 11; SM-G991B)
28,1739,227,2026-03-24 18:28:00,2026-03-24 19:43:00,-2.0,71.38,18.56,,False,1,,已退款,,random gibberish string @#$%
29,374,85,2026-05-25 06:46:00,2026-05-25 07:26:00,-2.0,,2.66,,False,0,已发货,,,python-requests/2.28.1
